Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2011,Developing,62.2,325,2,5.76,668.9562854,95,8,35.7,3,96,5.25,95,5.5,7645.21469,251339,7.7,7.4,0.678,12.4
Congo,2011,Developing,62.9,285,7,3.82,0,7,315,25,10,69,2.79,82,3.5,,,8,7.6,0.558,10.7
Eritrea,2011,Developing,62.9,286,6,0.62,20.97991915,96,48,16.5,8,96,3.6,96,0.7,582.775532,447469,8.8,8.7,0.405,5
Ethiopia,2011,Developing,62.6,249,156,1.32,67.77565369,65,3255,16,231,7,6.55,65,1.4,354.8463544,946756,1.9,1.6,0.411,8.2
Haiti,2011,Developing,62.3,259,15,5.68,4.106484317,,0,45.3,20,67,1.41,68,1.5,74.9358452,114554,4,4,0.47,8.7
Liberia,2011,Developing,62,266,9,3.72,60.44658161,77,279,25,12,77,11.23,77,1.5,379.689583,47167,7.2,7,0.406,9.5
Malawi,2011,Developing,54.1,441,32,1.23,13.77617463,97,26,18,50,97,11.67,97,11.2,512.125451,15627618,6.7,6.6,0.444,10.6
Niger,2011,Developing,59.4,241,50,0.15,32.22493445,75,771,17.7,93,4,6.66,75,0.7,375.5819866,1764636,1.5,1.3,0.323,4.8
Rwanda,2011,Developing,63.8,247,14,8.34,9.074569426,97,31,18.9,20,93,7.71,97,1.3,617.317648,151671,6.3,6.2,0.464,10.2
Sierra Leone,2011,Developing,48.9,418,26,3.78,54.6659175,89,1865,22.2,38,88,11.98,89,1.3,445.525,6611692,8.1,8,0.392,8.9
Swaziland,2011,Developing,55,438,2,5.2,735.7090978,91,0,3.2,3,85,8.61,91,15.7,3934.27325,1225258,5.1,5.2,0.526,11.2
Uganda,2011,Developing,59.3,347,76,10.22,94.49686776,82,3312,16.7,114,82,9.9,82,6.8,584.3962137,3593648,5.9,5.9,0.477,10.7
United Republic of Tanzania,2011,Developing,58.3,348,88,4.04,0,9,1622,21.3,128,88,5.72,9,3.1,,,7,6.9,,
Zambia,2011,Developing,58.2,366,29,2.57,183.0461695,81,13234,21.2,44,83,4.26,81,6.3,1644.619672,14264756,6.6,6.4,0.543,12
Zimbabwe,2011,Developing,54.9,464,28,6,63.75053034,94,0,29.9,42,93,6.31,93,13.3,839.927936,14386649,6.8,6.7,0.452,10.1
