Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2003,Developing,46.4,693,2,5.51,299.3671252,9,59,31.6,4,96,4.65,96,31.9,4163.6596,184339,1.9,1.8,0.567,11.8
Congo,2003,Developing,53.2,417,9,2.45,0,,3712,2.7,14,5,2.61,5,6.8,,,9.1,8.8,0.492,9.4
Eritrea,2003,Developing,58.8,343,7,0.56,6.913998013,91,376,13.3,10,95,3.5,93,1.9,232.7945459,3738265,9.7,9.7,0,4.7
Ethiopia,2003,Developing,54,363,228,0.79,10.97201912,,228,13.2,360,55,4.64,37,4.4,118.8734466,72545144,11.6,11.5,0.306,5.2
Haiti,2003,Developing,59.7,3,18,6.64,44.25687135,,0,36.5,25,56,5.32,53,4.6,329.782946,8976552,4.5,4.6,0.447,8.1
Liberia,2003,Developing,50,42,13,4.21,9.758449266,,142,21.1,18,49,3.44,35,3.2,133.494518,3116233,8.7,8.7,0.373,10.3
Malawi,2003,Developing,44.6,613,43,1.08,4.375316094,84,167,15.2,70,85,6.35,84,24.2,26.152517,12336687,7.6,7.5,0.362,10.3
Niger,2003,Developing,52.1,28,56,0.1,20.26876572,,54190,14.6,121,44,6.23,41,1.6,215.8548,1265687,12.3,12.2,0.266,3
Rwanda,2003,Developing,52,48,29,6.66,33.30286123,96,1064,14.5,46,96,6.34,96,8.1,212.6619491,868346,7,7.3,0.359,7.6
Sierra Leone,2003,Developing,41.5,57,30,4.07,38.61473209,,586,18.4,47,66,11.69,73,1.9,263.7618312,5199549,9.7,9.8,0.322,7.4
Swaziland,2003,Developing,45.9,6,3,5.65,2.819124474,9,350,27.1,4,87,5.71,85,50.6,22.99449,187392,8.2,8.4,0.493,9.1
Uganda,2003,Developing,51,53,109,10.16,4.426792406,44,29429,13.9,173,57,7.54,59,9.4,237.9995917,2662482,6.7,6.7,0.418,11.5
United Republic of Tanzania,2003,Developing,58,459,103,2.34,0,95,1673,17.2,160,97,4.6,95,11.5,,,7.9,7.9,,
Zambia,2003,Developing,46.4,64,39,2.33,65.78997404,,881,17.6,62,85,8.18,83,18.2,429.1583434,11421984,7.3,7.2,0.443,10.2
Zimbabwe,2003,Developing,44.5,715,26,4.06,0,7,998,26.7,41,7,6.52,68,36.7,453.3511552,12633897,9.8,9.9,0.418,9.5
