Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2008,Developing,57.5,427,2,6.56,476.8625872,94,0,34.2,3,96,5.55,96,12.7,5623.379566,1946351,8.8,8.6,0.646,12.1
Congo,2008,Developing,59.4,338,8,2.58,0,73,2,23.3,11,77,2.9,79,4.3,,,8.4,8,0.527,10
Eritrea,2008,Developing,67,322,6,0.49,11.76572311,94,0,15.1,9,94,3.69,94,1.1,326.825642,4232636,9.1,9.1,0.406,5.2
Ethiopia,2008,Developing,59.8,289,177,1.13,38.55783268,52,3511,14.9,270,63,4.28,54,2.4,325.3825543,83184892,11.2,1.9,0.378,7.6
Haiti,2008,Developing,62.1,259,16,5.95,63.83195683,,0,41.8,22,64,5.92,63,2.4,674.7564147,97529,4.2,4.2,0.462,8.4
Liberia,2008,Developing,58.6,281,10,3.88,40.03344077,64,1,23.4,14,79,11.83,75,2.4,232.61732,3662993,7.7,7.6,0.394,9.8
Malawi,2008,Developing,50,525,36,1.27,74.34482999,91,20,16.9,58,92,1.7,91,16.9,372.842678,14271234,7,6.9,0.4,9.6
Niger,2008,Developing,56,272,52,0.12,40.37835666,,1317,16.5,102,68,6.76,67,1.3,354.8185998,15228525,11.2,11,0.298,4
Rwanda,2008,Developing,68,282,18,6.39,0.661540371,97,6,17.1,28,97,7.66,97,3.7,5.6687264,978169,6.7,6.6,0.438,10.4
Sierra Leone,2008,Developing,46.2,441,29,3.91,5.379606465,77,44,2.7,44,75,1.29,77,1.9,46.3759178,6165372,8.7,8.7,0.367,8.3
Swaziland,2008,Developing,51.4,477,3,4.87,413.0063027,9,1,28.9,4,89,8.19,88,40.2,2842.438422,1158897,6.1,6.3,0.514,10.6
Uganda,2008,Developing,56.3,41,84,9.79,72.85023656,71,1319,15.6,130,69,9.1,71,8.2,449.6928183,31663896,6.2,6.2,0.453,10.6
United Republic of Tanzania,2008,Developing,56.2,376,92,3.44,0,86,3413,19.6,138,89,4.21,86,7.4,,,7.3,7.3,,
Zambia,2008,Developing,55.7,45,31,2.12,153.6783754,87,140,19.7,49,9,4.87,87,11.9,1369.68249,1382517,6.8,6.7,0.504,11.4
Zimbabwe,2008,Developing,48.2,632,30,3.56,20.84342867,75,0,28.6,46,75,4.96,75,20.5,325.678573,13558469,7.8,7.8,0.421,9.7
