Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2001,Developing,46.7,679,2,5.48,306.9527349,87,1,3.5,4,97,5.73,97,37.2,3128.97793,1754935,11.8,11.8,0.56,11.8
Congo,2001,Developing,52.7,419,9,2.3,0,,2152,19.8,14,32,2.44,31,7.6,,,9.4,9,0.487,9.7
Eritrea,2001,Developing,58.1,345,7,0.61,5.593619538,,204,12.8,10,89,3.95,86,2,215.139213,3497124,1,1,0,4.3
Ethiopia,2001,Developing,52.5,372,246,0.85,1.186227577,,2366,12.6,392,55,4.26,32,4.9,12.1789279,68492257,11.8,11.7,0.283,4.3
Haiti,2001,Developing,58.9,35,19,6.22,60.77815868,,159,34.8,27,52,5.63,45,5,413.7383164,8692567,4.7,4.7,0.443,7.9
Liberia,2001,Developing,51.5,333,14,4.4,16.72142854,,1379,2.4,20,54,6.41,42,3.1,174.1815473,2991132,9,9,0.386,10.5
Malawi,2001,Developing,43.5,599,48,1.15,12.79760626,,150,14.4,80,86,5.7,9,25.1,146.7615397,11695863,7.9,7.7,0.387,10.1
Niger,2001,Developing,56,283,57,0.11,1.817829717,,61208,13.9,127,42,7.1,36,1.6,165.257247,11771976,12.7,12.7,0.255,2.9
Rwanda,2001,Developing,48.6,438,33,5.72,0.388253772,,896,13.7,54,76,4.38,77,8.1,21.569654,832946,7.4,7.5,0.332,7.1
Sierra Leone,2001,Developing,41,519,30,4.21,33.34691455,,649,17.5,48,38,11.83,38,1.5,227.779471,4739147,1.1,1.2,0.302,7
Swaziland,2001,Developing,47.1,568,3,6.72,143.6197316,86,49,26.3,4,87,5.11,84,48.8,1437.634951,172927,9,9.2,0.506,9.3
Uganda,2001,Developing,47.7,539,115,10.57,26.97625217,,48543,13.3,187,56,7.26,55,10.8,234.984775,24854892,6.9,6.9,0.396,10.8
United Republic of Tanzania,2001,Developing,49.6,46,110,4.09,0,,11847,16.4,173,65,3.28,87,12.5,,,8.2,8.1,,
Zambia,2001,Developing,44.6,611,43,2.61,46.83027463,,16997,17.1,70,86,6.56,85,18.6,378.2736238,1824125,7.4,7.4,0.424,9.8
Zimbabwe,2001,Developing,45.3,686,25,1.72,0,76,529,25.9,39,76,6.16,75,42.1,548.587312,12366165,1.6,1.7,0.427,9.8
