Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2010,Developing,61.1,349,2,5.99,547.0386679,95,853,35.2,3,96,5.64,95,6.2,6346.15624,214866,8,7.8,0.669,12.3
Congo,2010,Developing,62,298,7,3.53,0,74,4,24.5,10,72,2.29,74,3.8,,,8.1,7.7,0.548,10.5
Eritrea,2010,Developing,62.1,298,6,0.61,17.35739784,9,51,16,9,9,3.24,9,0.9,482.14994,43984,8.9,8.8,0.404,5.1
Ethiopia,2010,Developing,61.8,261,162,1.34,67.73374413,62,4235,15.6,243,69,6.86,61,1.7,341.39992,877267,11,1.7,0.401,8.1
Haiti,2010,Developing,36.3,682,23,5.76,36.2929176,,0,44.2,58,66,8.9,66,1.9,662.2795182,9999617,4,4,0.47,8.6
Liberia,2010,Developing,59.7,272,9,3.64,41.91052416,47,2200,24.5,13,71,11.87,7,1.8,327.42597,3948125,7.4,7.2,0.403,9.6
Malawi,2010,Developing,52.9,462,35,1.08,9.728005297,93,118712,17.6,54,86,1.5,93,13.7,458.8681744,1516795,6.8,6.7,0.43,10.2
Niger,2010,Developing,58.2,252,50,0.12,5.883760536,7,372,17.3,95,75,6.36,7,0.9,348.151511,16425578,1.7,1.6,0.312,4.5
Rwanda,2010,Developing,62.8,26,16,7.92,63.78723633,97,121,18.3,23,93,7.91,97,2.3,563.491487,1246842,6.5,6.3,0.454,10
Sierra Leone,2010,Developing,48.1,424,27,3.84,5.347717533,86,1089,21.7,40,84,1.32,86,1.6,45.128418,645872,8.3,8.2,0.384,8.7
Swaziland,2010,Developing,53.6,459,2,4.93,56.93670561,89,313,29.7,4,89,8.47,89,21.6,369.239336,122843,5.4,5.6,0.523,11
Uganda,2010,Developing,58.4,362,79,10.03,116.202964,8,1313,16.3,119,79,11.2,8,8,594.9972557,33915133,6,6,0.473,10.9
United Republic of Tanzania,2010,Developing,57.5,36,89,4.19,0,91,167,2.7,131,94,5.3,91,4.6,,,7.1,7.1,,
Zambia,2010,Developing,58,363,30,2.47,184.3649102,83,15754,2.7,45,8,4.41,83,6.8,1463.213573,138533,6.7,6.5,0.533,11.8
Zimbabwe,2010,Developing,52.4,527,29,5.21,53.30858081,9,9696,29.4,44,89,5.37,89,15.7,713.63562,1486317,7.1,7,0.436,10
