Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2002,Developing,46,699,2,6.41,6.3300072,88,7,31.1,4,97,6.47,97,34.6,355.618382,1779953,11.4,11.3,0.558,11.9
Congo,2002,Developing,52.6,424,9,2.55,0,,2788,2.3,14,41,2.45,41,7.2,,,9.3,8.9,0.488,9.5
Eritrea,2002,Developing,58.5,343,7,0.83,0.703132179,86,460,13.1,10,92,4.2,9,1.9,21.7687981,3614639,9.9,9.9,0,4.4
Ethiopia,2002,Developing,53.2,369,237,0.8,10.82452594,,3332,12.9,377,55,4.73,35,4.6,111.3634356,7497192,11.7,11.6,0.298,4.9
Haiti,2002,Developing,59.3,33,19,6.1,50.28558223,,0,35.6,26,54,5.47,48,4.8,393.16327,8834733,4.6,4.7,0.444,8
Liberia,2002,Developing,56,371,13,4.27,10.424369,,131,2.7,19,51,5.43,39,3.1,177.285187,362863,8.8,8.9,0.376,10.4
Malawi,2002,Developing,44,67,46,1.1,3.885394742,64,92,14.8,75,79,4.82,64,24.7,29.9798977,1213711,7.7,7.6,0.388,10.4
Niger,2002,Developing,51.4,282,57,0.1,17.58722718,,31584,14.3,124,43,6.55,39,1.6,177.828384,12262,12.5,12.5,0.261,2.9
Rwanda,2002,Developing,57,415,31,7.82,1.9659778,88,2738,14.1,50,85,4.18,88,8,196.59778,853625,7.2,7.4,0.343,7.2
Sierra Leone,2002,Developing,48,513,30,4.06,36.59114895,,568,17.9,48,54,11.96,53,1.7,249.939542,4957216,9.9,1,0.306,7.2
Swaziland,2002,Developing,46.4,587,3,5.52,131.0421269,88,37,26.7,4,87,5.16,85,49.9,1324.996228,1893,8.6,8.8,0.502,9.2
Uganda,2002,Developing,48.8,523,112,10.42,2.690897842,29,49871,13.6,181,57,7.78,57,10,24.2423229,2571848,6.8,6.8,0.404,11
United Republic of Tanzania,2002,Developing,52,46,106,3.37,0,89,5131,16.8,166,91,3.59,89,12.1,,,8,8,,
Zambia,2002,Developing,45.5,69,41,2.44,54.04348047,,25036,17.3,66,85,6.93,84,18.4,377.135244,111249,7.4,7.3,0.433,10
Zimbabwe,2002,Developing,44.8,73,25,4.43,0,73,304,26.3,40,73,6.53,71,39.8,57.34834,125525,1.2,1.3,0.427,10
