Country,Year,Status,LifeExpectancy,AdultMortality,infantdeaths,Alcohol,percentage_expenditure,HepatitisB,Measles,BMI,under-fivedeaths,Polio,Total_expenditure,Diphtheria,HIV/AIDS,GDP,Population,thinness1-19years,thinness5-9years,Incomecompositionofresources,Schooling
Botswana,2005,Developing,51.7,566,2,6.37,629.8425643,92,5,32.7,3,96,5.62,96,20.6,5351.253732,1855852,1,9.9,0.593,11.9
Congo,2005,Developing,55.3,394,8,2.03,0,,146,21.7,13,62,2.42,62,5.9,,,8.8,8.5,0.496,9.4
Eritrea,2005,Developing,59.4,34,7,1.07,5.064688968,96,19,13.9,9,96,2.97,96,1.6,276.75896,39697,9.4,9.5,0,5.4
Ethiopia,2005,Developing,56,343,206,0.99,18.03753133,,357,13.8,323,56,4.2,44,3.7,161.6266248,7672783,11.5,11.2,0.325,5.8
Haiti,2005,Developing,65,29,17,5.57,38.10904264,,0,38.5,24,6,4.41,6,3.9,465.311876,926344,4.4,4.4,0.452,8.2
Liberia,2005,Developing,55.3,316,12,4.19,22.39648813,,8,22,16,66,8.4,6,3.1,168.648254,326123,8.3,8.3,0.372,10.1
Malawi,2005,Developing,46,66,39,1.04,5.670640102,93,184,15.9,62,94,8.2,93,22.4,28.3673842,1339711,7.4,7.2,0.371,9.7
Niger,2005,Developing,53.7,278,55,0.11,3.751715442,,2183,15.4,114,46,7.15,45,1.6,25.383731,13618449,11.9,11.8,0.278,3.5
Rwanda,2005,Developing,55.3,37,24,7.01,39.44666715,95,129,15.4,38,95,6.83,95,7.1,287.931877,8991735,6.8,7,0.388,8.8
Sierra Leone,2005,Developing,43.3,48,30,3.83,42.08892911,,29,19.2,47,67,12.25,65,2.2,287.6891942,5658379,9.3,9.3,0.341,7.8
Swaziland,2005,Developing,46,63,3,5.08,372.1651473,95,0,27.8,4,88,6.8,86,49.1,2873.862141,115873,7.3,7.5,0.495,9.7
Uganda,2005,Developing,53.2,446,99,10.09,44.52614001,64,22,14.5,155,59,9.36,64,8.7,315.788227,2854394,6.5,6.5,0.429,10.9
United Republic of Tanzania,2005,Developing,52.2,449,97,3.94,0,9,23,18.1,149,91,4.66,9,10,,,7.7,7.6,,
Zambia,2005,Developing,49.3,554,34,2.33,121.879331,82,45,18.4,55,84,7.56,82,17,691.3178164,1252156,7.1,7,0.467,10.7
Zimbabwe,2005,Developing,44.6,717,28,4.14,8.7174087,65,420,27.5,43,69,6.44,68,30.3,444.76575,129432,9,9,0.406,9.3
